modelo,variante,f1_macro_oof
decision_tree,baseline,0.40124404792880713
decision_tree,smote,0.41952411718126764
random_forest,baseline,0.45125655059078035
random_forest,robust,0.45129815091489195
lightgbm,baseline,0.42045282298667114
lightgbm,undersample,0.43700531670425097
knn,baseline,0.39565266288851064
knn,smote,0.4075955817538735
svm,baseline,0.44714452782895703
svm,robust,0.44724344741699945
mlp,baseline,0.41272987871752226
mlp,smote,0.43911798898983917
xgboost,baseline,0.4240038436075495
xgboost,undersample,0.44196947535954045
lvq,baseline,0.2648450334778502
lvq,undersample,0.4179591494087478
mlp_committee,baseline,0.40796012564226913
mlp_committee,smote,0.4490848086842787
stacking,baseline,0.4167288184919127
stacking,undersample,0.4385470896265235
