A,B,F1_A,F1_B,diff_B_minus_A,wilcoxon_p,paired_t_p,B_supera_A_p<0.05
lvq,stacking,0.26482757961049896,0.4167182689055398,0.15189068929504085,0.0625,5.773357767766976e-08,True
lvq,mlp_committee,0.26482757961049896,0.4079160435245471,0.14308846391404811,0.0625,1.7519938217215734e-06,True
knn,svm,0.3956464449791262,0.4471321804286541,0.05148573544952785,0.0625,3.2369926356647864e-06,True
decision_tree,random_forest,0.40119694225880276,0.45123875565652716,0.05004181339772442,0.0625,6.051419345835481e-07,True
decision_tree,svm,0.40119694225880276,0.4471321804286541,0.0459352381698513,0.0625,1.3280487585025701e-06,True
knn,xgboost,0.3956464449791262,0.4240143433012033,0.02836789832207709,0.0625,5.070044320066401e-05,True
lightgbm,svm,0.420443290360412,0.4471321804286541,0.026688890068242023,0.0625,9.463193981370224e-05,True
decision_tree,xgboost,0.40119694225880276,0.4240143433012033,0.022817401042400542,0.0625,5.526196203524825e-06,True
knn,stacking,0.3956464449791262,0.4167182689055398,0.021071823926413623,0.0625,0.0004142099746941154,True
decision_tree,lightgbm,0.40119694225880276,0.420443290360412,0.01924634810160928,0.0625,0.00015034127480580785,True
knn,mlp,0.3956464449791262,0.4121339466801402,0.016487501701014005,0.0625,0.027034334472315034,True
decision_tree,stacking,0.40119694225880276,0.4167182689055398,0.015521326646737077,0.0625,0.00012435007868931666,True
knn,mlp_committee,0.3956464449791262,0.4079160435245471,0.01226959854542089,0.0625,0.00242218255319173,True
mlp,xgboost,0.4121339466801402,0.4240143433012033,0.011880396621063083,0.0625,0.10495679857262737,False
decision_tree,mlp,0.40119694225880276,0.4121339466801402,0.01093700442133746,0.1875,0.13027541595301448,False
mlp_committee,stacking,0.4079160435245471,0.4167182689055398,0.008802225380992734,0.0625,0.06567676410368702,False
decision_tree,mlp_committee,0.40119694225880276,0.4079160435245471,0.006719101265744343,0.125,0.06758785817757432,False
mlp,stacking,0.4121339466801402,0.4167182689055398,0.004584322225399617,0.625,0.5237174940188192,False
lightgbm,xgboost,0.420443290360412,0.4240143433012033,0.003571052940791264,0.125,0.12166020243199803,False
lightgbm,stacking,0.420443290360412,0.4167182689055398,-0.0037250214548722018,0.1875,0.1147743863510103,False
random_forest,svm,0.45123875565652716,0.4471321804286541,-0.004106575227873122,0.125,0.07133816694823718,False
mlp,mlp_committee,0.4121339466801402,0.4079160435245471,-0.004217903155593117,0.1875,0.26129699087475544,False
decision_tree,knn,0.40119694225880276,0.3956464449791262,-0.005550497279676547,0.0625,0.008881768309145267,False
xgboost,stacking,0.4240143433012033,0.4167182689055398,-0.007296074395663465,0.0625,0.0038273108826897264,False
lightgbm,mlp,0.420443290360412,0.4121339466801402,-0.008309343680271818,0.3125,0.19254594341910672,False
lightgbm,mlp_committee,0.420443290360412,0.4079160435245471,-0.012527246835864935,0.0625,0.006442712667741169,False
xgboost,mlp_committee,0.4240143433012033,0.4079160435245471,-0.0160982997766562,0.0625,0.004505367053688208,False
svm,xgboost,0.4471321804286541,0.4240143433012033,-0.023117837127450757,0.0625,3.157211123628396e-06,False
lightgbm,knn,0.420443290360412,0.3956464449791262,-0.024796845381285827,0.0625,4.595355567142964e-06,False
random_forest,xgboost,0.45123875565652716,0.4240143433012033,-0.027224412355323878,0.0625,2.9745917319614173e-05,False
svm,stacking,0.4471321804286541,0.4167182689055398,-0.030413911523114224,0.0625,2.0779077505083818e-05,False
random_forest,lightgbm,0.45123875565652716,0.420443290360412,-0.030795465296115144,0.0625,0.00012335947459858807,False
random_forest,stacking,0.45123875565652716,0.4167182689055398,-0.034520486750987345,0.0625,1.5121295943252929e-05,False
svm,mlp,0.4471321804286541,0.4121339466801402,-0.03499823374851384,0.0625,0.0029082733433793222,False
random_forest,mlp,0.45123875565652716,0.4121339466801402,-0.03910480897638696,0.0625,0.0032996932703933993,False
svm,mlp_committee,0.4471321804286541,0.4079160435245471,-0.039216136904106955,0.0625,9.756043763545084e-05,False
random_forest,mlp_committee,0.45123875565652716,0.4079160435245471,-0.04332271213198008,0.0625,0.00015794583790123287,False
random_forest,knn,0.45123875565652716,0.3956464449791262,-0.05559231067740097,0.0625,7.071294380706794e-06,False
knn,lvq,0.3956464449791262,0.26482757961049896,-0.13081886536862725,0.0625,1.915406720448287e-07,False
decision_tree,lvq,0.40119694225880276,0.26482757961049896,-0.1363693626483038,0.0625,6.374262174835961e-08,False
mlp,lvq,0.4121339466801402,0.26482757961049896,-0.14730636706964123,0.0625,2.2221754634591323e-05,False
lightgbm,lvq,0.420443290360412,0.26482757961049896,-0.15561571074991307,0.0625,5.997179545835675e-08,False
xgboost,lvq,0.4240143433012033,0.26482757961049896,-0.15918676369070434,0.0625,1.6834865194534123e-07,False
svm,lvq,0.4471321804286541,0.26482757961049896,-0.18230460081815508,0.0625,1.2918250722718187e-07,False
random_forest,lvq,0.45123875565652716,0.26482757961049896,-0.18641117604602822,0.0625,1.7581618134639707e-08,False
