modelo,f1_macro_val,f1_macro_val_std,f1_macro_treino,gap_treino_val
random_forest,0.4512387556565271,0.0028246232333071,0.8414514666175658,0.39021271096103866
svm,0.4471321804286541,0.0023788152726557,0.4533570671757909,0.006224886747136782
xgboost,0.4240143433012033,0.0023033654216018,0.6357144708405985,0.2117001275393952
lightgbm,0.4204432903604121,0.0016885686484235,0.702710178326542,0.2822668879661299
stacking,0.4167182689055398,0.0021392925541569,0.4732149109534899,0.056496642047950074
mlp,0.4121339466801402,0.0115465159457909,0.4283746222338549,0.016240675553714723
mlp_committee,0.4079160435245471,0.0054813483297589,0.4561242268650473,0.0482081833405002
decision_tree,0.4011969422588027,0.0013035346392129,0.6806702855277621,0.2794733432689594
knn,0.3956464449791262,0.001979619862472,0.5901451704738474,0.1944987254947212
lvq,0.2648275796104989,0.0024389836741907,0.2655661894776444,0.0007386098671454677
